| name                   | title                  | level | facing   | categories   | description                                                                                                 | detail                                                                       | remediation                                                                                | metadata                                                       | cache_key                                        |
| ---------------------- | ---------------------- | ----- | -------- | ------------ | ----------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | -------------------------------------------------------------- | ------------------------------------------------ |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.audit_logs\` is public, but RLS has not been enabled.         | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"audit_logs","type":"table","schema":"public"}         | rls_disabled_in_public_public_audit_logs         |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.rate_tables\` is public, but RLS has not been enabled.        | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"rate_tables","type":"table","schema":"public"}        | rls_disabled_in_public_public_rate_tables        |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.change_orders\` is public, but RLS has not been enabled.      | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"change_orders","type":"table","schema":"public"}      | rls_disabled_in_public_public_change_orders      |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.chat_conversations\` is public, but RLS has not been enabled. | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"chat_conversations","type":"table","schema":"public"} | rls_disabled_in_public_public_chat_conversations |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.documents\` is public, but RLS has not been enabled.          | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"documents","type":"table","schema":"public"}          | rls_disabled_in_public_public_documents          |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.projects\` is public, but RLS has not been enabled.           | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"projects","type":"table","schema":"public"}           | rls_disabled_in_public_public_projects           |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.session\` is public, but RLS has not been enabled.            | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"session","type":"table","schema":"public"}            | rls_disabled_in_public_public_session            |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.companies\` is public, but RLS has not been enabled.          | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"companies","type":"table","schema":"public"}          | rls_disabled_in_public_public_companies          |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.sessions\` is public, but RLS has not been enabled.           | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"sessions","type":"table","schema":"public"}           | rls_disabled_in_public_public_sessions           |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.users\` is public, but RLS has not been enabled.              | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"users","type":"table","schema":"public"}              | rls_disabled_in_public_public_users              |
